Storm, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.431,0.524,0.668,0.795,0.977,1.12,1.28,1.46,1.70,1.90
10-min:, 0.684,0.833,1.06,1.27,1.56,1.80,2.06,2.32,2.69,2.98
15-min:, 0.868,1.05,1.34,1.59,1.95,2.24,2.55,2.90,3.38,3.77
30-min:, 1.24,1.49,1.89,2.24,2.74,3.13,3.56,4.05,4.75,5.33
60-min:, 1.61,1.96,2.49,2.97,3.65,4.19,4.79,5.49,6.52,7.38
2-hr:, 1.92,2.41,3.12,3.79,4.78,5.63,6.58,7.68,9.33,10.7
3-hr:, 2.08,2.67,3.50,4.30,5.52,6.59,7.81,9.22,11.3,13.1
6-hr:, 2.39,3.13,4.15,5.16,6.72,8.11,9.72,11.6,14.4,16.8
12-hr:, 2.75,3.60,4.79,5.96,7.76,9.35,11.2,13.4,16.7,19.5
24-hr:, 3.14,4.10,5.45,6.75,8.74,10.5,12.5,14.9,18.5,21.6
2-day:, 3.57,4.61,6.12,7.54,9.66,11.4,13.5,16.0,19.9,23.2
3-day:, 3.87,4.96,6.58,8.06,10.3,12.1,14.2,16.7,20.6,24.0
4-day:, 4.12,5.25,6.95,8.49,10.8,12.6,14.8,17.3,21.2,24.5
7-day:, 4.71,5.94,7.79,9.46,11.9,13.9,16.1,18.6,22.2,25.3
10-day:, 5.22,6.51,8.48,10.2,12.8,14.9,17.1,19.6,23.0,25.8
20-day:, 6.82,8.22,10.5,12.4,15.0,17.0,19.2,21.5,24.7,27.4
30-day:, 8.15,9.63,12.1,14.1,16.8,18.8,20.8,23.1,26.2,28.7
45-day:, 10.0,11.6,14.5,16.7,19.6,21.7,23.7,25.9,28.7,30.9
60-day:, 11.6,13.4,16.5,19.0,22.1,24.3,26.4,28.5,31.2,33.1
