Point precipitation frequency estimates (inches/hour)
NOAA Atlas 14 Volume 11 Version 2
Data type: Precipitation intensity
Time series type: Partial duration
Project area: Texas
Location name (ESRI Maps): Austin, Texas, USA
Station Name: -
Latitude: 30.3329 Degree
Longitude: -97.7483 Degree
Elevation (USGS): 639 ft


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 5.17,6.29,8.02,9.54,11.7,13.5,15.4,17.5,20.4,22.8
10-min:, 4.10,5.00,6.38,7.60,9.36,10.8,12.3,13.9,16.2,17.9
15-min:, 3.47,4.21,5.36,6.36,7.80,8.97,10.2,11.6,13.5,15.1
30-min:, 2.47,2.98,3.78,4.48,5.47,6.26,7.12,8.09,9.50,10.7
60-min:, 1.61,1.96,2.49,2.97,3.65,4.19,4.79,5.49,6.52,7.38
2-hr:, 0.958,1.20,1.56,1.89,2.39,2.81,3.29,3.84,4.66,5.36
3-hr:, 0.694,0.889,1.17,1.43,1.84,2.19,2.60,3.07,3.77,4.37
6-hr:, 0.399,0.523,0.694,0.862,1.12,1.35,1.62,1.93,2.40,2.80
12-hr:, 0.228,0.299,0.398,0.494,0.644,0.776,0.930,1.11,1.38,1.62
24-hr:, 0.131,0.171,0.227,0.281,0.364,0.436,0.520,0.620,0.771,0.902
2-day:, 0.074,0.096,0.128,0.157,0.201,0.238,0.282,0.333,0.414,0.484
3-day:, 0.054,0.069,0.091,0.112,0.143,0.168,0.197,0.232,0.286,0.333
4-day:, 0.043,0.055,0.072,0.088,0.112,0.132,0.154,0.180,0.220,0.255
7-day:, 0.028,0.035,0.046,0.056,0.071,0.083,0.096,0.111,0.132,0.150
10-day:, 0.022,0.027,0.035,0.043,0.053,0.062,0.071,0.082,0.096,0.108
20-day:, 0.014,0.017,0.022,0.026,0.031,0.036,0.040,0.045,0.052,0.057
30-day:, 0.011,0.013,0.017,0.020,0.023,0.026,0.029,0.032,0.036,0.040
45-day:, 0.009,0.011,0.013,0.015,0.018,0.020,0.022,0.024,0.027,0.029
60-day:, 0.008,0.009,0.011,0.013,0.015,0.017,0.018,0.020,0.022,0.023

Date/time (GMT):  Thu May  2 05:04:06 2024
pyRunTime:  0.007277011871337891
